team,first_name,last_name,position,awareness,speed,acceleration,agility,strength,elusiveness,carrying,trucking,catching,jumping,throw_power,throw_accuracy_short,throw_accuracy_mid,throw_accuracy_deep,throw_on_the_run,playaction,pass_block,run_block,tackle,kick_power,kick_accuracy,kick_return,stamina,injury,run_block_power,run_block_finesse,pass_block_power,pass_block_finesse,break_tackle,toughness,handedness,jersey_number,height,weight,age,birthdate,years_pro,college,draft_round,draft_pick,contract_length,contract_years_left,total_salary,signing_bonus,role_one,role_two,pro_bowl,nfl_icon,hair_style,hair_color,skin_color,tattoo_left,tattoo_right,tendency,face_id,sleeves,left_hand,right_hand,left_wrist,right_wrist,left_elbow,right_elbow,left_knee,right_knee,left_shoe,right_shoe,neck_pad,mouthpiece,breathing_strip,eye_black,helmet,face_mask,visor
Dolphins,Cornell,Armstrong,CB,52,91,93,83,62,61,59,10,64,89,21,6,6,6,6,6,35,35,58,14,11,42,88,87,35,35,35,35,48,75,Right,31,72,185,23,9/22/1995,1,Southern Mississippi,6,49,4,3,2578408,118408,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Kiko,Alonso,ROLB,78,81,85,83,66,25,57,48,76,76,29,6,6,6,6,6,45,45,87,19,19,15,96,82,45,45,45,45,10,81,Right,47,75,239,29,8/14/1990,6,Oregon,2,14,4,2,28910000,16000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Tony,Adams,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,68,74,312,23,12/28/1995,1,North Carolina State,15,63,2,2,1080000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Chase,Allen,MLB,71,86,86,84,75,53,45,57,53,80,23,6,6,6,6,6,45,44,83,14,12,10,87,89,45,45,45,45,38,89,Right,59,75,248,25,8/29/1993,2,Southern Illinois,15,63,3,1,1675000,20000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Walt,Aikens,FS,67,89,89,81,58,61,66,30,61,84,35,6,6,6,6,6,35,35,59,25,25,50,89,93,35,35,35,35,51,72,Right,35,73,204,28,6/19/1991,5,Liberty,4,29,2,1,2700000,1300000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Dwayne,Allen,TE,76,75,84,73,82,46,74,76,82,83,35,15,10,6,10,6,58,66,33,33,32,25,90,87,65,61,57,53,48,76,Right,89,76,263,29,2/24/1990,7,Clemson,3,0,2,2,6500000,1250000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Jonathan,Woodard,RE,43,76,84,81,84,25,50,28,32,84,24,6,6,6,6,6,44,44,83,15,17,10,83,89,45,45,45,45,15,74,Right,76,78,271,25,9/19/1993,3,Central Arkansas,7,34,1,1,645000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Dolphins,Jomal,Wiltz,CB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Right,33,70,180,24,10/23/1994,2,Iowa State,15,63,2,2,1080000,0,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Jets,Brian,Winters,RG,83,64,80,54,84,11,35,22,25,77,20,6,6,6,6,12,84,79,39,12,12,10,88,87,85,79,81,73,-1,87,Right,67,76,320,28,7/10/1991,6,Kent State,3,8,4,2,29000000,15000000,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Ravens,Kenny,Young,MLB,71,84,88,75,75,26,53,39,53,86,27,6,6,6,6,6,45,45,84,18,10,10,87,89,45,45,45,45,31,84,Right,40,73,234,24,11/15/1994,1,UCLA,4,26,4,3,3099900,639900,45,45,0,0,4,0,2,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
